数据来源：电影票房数据库58921.com,,,,,,
影片名,统计日期,当日票房（万元）,网票票房（万元）,哈票票房（万元）,万达票房（万元）,金逸票房（万元）
侏罗纪公园2,20180622,1969.1,891.58,111.86,--,26.79
侏罗纪公园2,20180621,4728.5,3513.14,161.23,--,70.27
侏罗纪公园2,20180620,5171.1,3575.46,157.83,--,72.12
侏罗纪公园2,20180619,6410.74,4219.24,16.58,--,2.82
侏罗纪公园2,20180618,20300,7721.68,--,--,9.87
猛虫过江,20180622,216.51,114.45,6.15,--,1.14
猛虫过江,20180621,1295.02,786.72,19.41,--,5.94
猛虫过江,20180620,1409.27,881.26,17.39,--,6.7
猛虫过江,20180619,1402.37,950.47,2.22,--,6.5
猛虫过江,20180618,2728.41,1214.41,--,--,32.11
泄密者,20180622,41.15,37.47,--,--,0.7291
泄密者,20180621,409.25,489.19,--,--,8.4
泄密者,20180620,450.65,507.69,--,--,10.31
泄密者,20180619,491.84,561.61,--,--,18.27
泄密者,20180618,1194.42,725.67,--,--,65.9
超时空同居,20180622,38.73,25.47,--,--,2.48
超时空同居,20180621,227.61,199.65,--,--,4.75
超时空同居,20180620,236.74,225.48,--,--,4.19
超时空同居,20180619,237.11,217.66,--,--,2.23
超时空同居,20180618,529.33,282.82,--,--,10.51
复仇者联盟3：无限战争,20180622,22.65,18.23,9880元,--,0.734
复仇者联盟3：无限战争,20180621,120.76,122.95,8.88,--,0.9685
复仇者联盟3：无限战争,20180620,119.27,136.42,9.14,--,1.12
复仇者联盟3：无限战争,20180619,126.93,137.67,14.03,--,1.14
复仇者联盟3：无限战争,20180618,322.89,161.81,17.75,--,--
