影片名,类型,国家,统计日期,当日票房（万元）,网票票房（万元）,哈票票房（万元）,金逸票房（万元）,票房合计
侏罗纪公园2,科幻,美国,20180622,1969.1,891.58,111.86,26.79,2999.33
侏罗纪公园2,科幻,美国,20180621,4728.5,3513.14,161.23,70.27,8473.14
侏罗纪公园2,科幻,美国,20180620,5171.1,3575.46,157.83,72.12,8976.510000000002
侏罗纪公园2,科幻,美国,20180619,6410.74,4219.24,16.58,2.82,10649.38
侏罗纪公园2,科幻,美国,20180618,20300.0,7721.68,0,9.87,28031.55
猛虫过江,喜剧,中国大陆,20180622,216.51,114.45,6.15,1.14,338.24999999999994
猛虫过江,喜剧,中国大陆,20180621,1295.02,786.72,19.41,5.94,2107.0899999999997
猛虫过江,喜剧,中国大陆,20180620,1409.27,881.26,17.39,6.7,2314.6199999999994
猛虫过江,喜剧,中国大陆,20180619,1402.37,950.47,2.22,6.5,2361.56
猛虫过江,喜剧,中国大陆,20180618,2728.41,1214.41,0,32.11,3974.93
泄密者,悬疑,中国香港,20180622,41.15,37.47,0,0.7291,79.3491
泄密者,悬疑,中国香港,20180621,409.25,489.19,0,8.4,906.84
泄密者,悬疑,中国香港,20180620,450.65,507.69,0,10.31,968.6499999999999
泄密者,悬疑,中国香港,20180619,491.84,561.61,0,18.27,1071.72
泄密者,悬疑,中国香港,20180618,1194.42,725.67,0,65.9,1985.9900000000002
超时空同居,喜剧,中国大陆,20180622,38.73,25.47,0,2.48,66.67999999999999
超时空同居,喜剧,中国大陆,20180621,227.61,199.65,0,4.75,432.01
超时空同居,喜剧,中国大陆,20180620,236.74,225.48,0,4.19,466.41
超时空同居,喜剧,中国大陆,20180619,237.11,217.66,0,2.23,457.0
超时空同居,喜剧,中国大陆,20180618,529.33,282.82,0,10.51,822.6600000000001
复仇者联盟3：无限战争,科幻,美国,20180622,22.65,18.23,0.99,0.734,42.604
复仇者联盟3：无限战争,科幻,美国,20180621,120.76,122.95,8.88,0.9685,253.5585
复仇者联盟3：无限战争,科幻,美国,20180620,119.27,136.42,9.14,1.12,265.95
复仇者联盟3：无限战争,科幻,美国,20180619,126.93,137.67,14.03,1.14,279.77
复仇者联盟3：无限战争,科幻,美国,20180618,322.89,161.81,17.75,0,502.45
